config_id,node_id,anchor_pl_name,discoverymethod,TOI,ATI,delta_rel_neighbors_best,delta_rel_neighbors_mean,r3_imputation_score,anchor_representativeness,deficit_class,expected_incompleteness_direction
orbital_pca2_cubes10_overlap0p35,cube12_cluster0,HIP 97166 c,Radial Velocity,0.0766674525511436,0.0068528480823882,0.0909090909008264,-0.2182802829380318,0.0,0.983224646245256,no_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable
orbital_pca2_cubes10_overlap0p35,cube17_cluster2,HIP 90988 b,Radial Velocity,0.0627572653395493,0.0067455387709832,0.1111111110987654,0.0726310726241186,0.0,0.9673756276205318,weak_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable
orbital_pca2_cubes10_overlap0p35,cube26_cluster6,HD 42012 b,Radial Velocity,0.0581132674842715,0.0051133340600407,0.0909090909008264,0.0341916380849605,0.0,0.9678800917670856,no_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable
orbital_pca2_cubes10_overlap0p35,cube19_cluster5,HD 42012 b,Radial Velocity,0.0581132674842715,0.0051133340600407,0.0909090909008264,0.0341916380849605,0.0,0.9678800917670856,no_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable
orbital_pca2_cubes10_overlap0p35,cube17_cluster10,HD 4313 b,Radial Velocity,0.0343040610223196,0.0050935128729779,0.1666666666388888,0.1136363636220347,0.0,0.8908880270203854,weak_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable
orbital_pca2_cubes10_overlap0p35,cube25_cluster0,HD 221585 b,Radial Velocity,0.0562810757788033,0.005070342812419,0.0909090909008264,-0.1199963331579236,0.0,0.9909862270736136,no_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable
orbital_pca2_cubes10_overlap0p35,cube24_cluster1,24 Sex b,Radial Velocity,0.0523779284684389,0.0046807935463178,0.0909090909008264,0.0429569290688329,0.0,0.9830233940084538,no_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable
orbital_pca2_cubes10_overlap0p35,cube26_cluster4,BD-17 63 b,Radial Velocity,0.0578280248129117,0.0046770858527751,0.0909090909008264,0.01261663862881,0.0,0.8896714793847982,no_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable
orbital_pca2_cubes10_overlap0p35,cube19_cluster4,BD-17 63 b,Radial Velocity,0.0578280248129117,0.0046770858527751,0.0909090909008264,0.01261663862881,0.0,0.8896714793847982,no_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable
orbital_pca2_cubes10_overlap0p35,cube33_cluster3,HD 11506 d,Radial Velocity,0.0137730505169408,0.0043487335823949,0.3333333332222222,0.277777777699074,0.0,0.9472266681579836,moderate_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable
