config_id,node_id,n_members,top_method,shadow_score,I_R3,C_phys,S_net,TOI,TOI_rank,region_class,physical_distance_v_to_N1,method_l1_boundary_N1
orbital_pca2_cubes10_overlap0p35,cube12_cluster0,3182,Transit,0.0854837489037139,0.0030379216425728,0.9573467807645072,0.9396790676659268,0.0766674525511436,1,high_toi_region,0.2952612091731792,0.1205390038404905
orbital_pca2_cubes10_overlap0p35,cube17_cluster2,8,Radial Velocity,0.2740494357573514,0.0,0.7199315948181663,0.3180854949506049,0.0627572653395493,2,high_toi_region,0.8106775915029316,1.011124845488257
orbital_pca2_cubes10_overlap0p35,cube26_cluster6,11,Radial Velocity,0.2398518871206464,0.0,0.7162596312006045,0.3382685955462278,0.0581132674842715,3,high_toi_region,0.8169609101311752,0.9919901417128774
orbital_pca2_cubes10_overlap0p35,cube19_cluster5,11,Radial Velocity,0.2398518871206464,0.0,0.7162596312006045,0.3382685955462278,0.0581132674842715,4,high_toi_region,0.8169609101311752,0.9919901417128774
orbital_pca2_cubes10_overlap0p35,cube19_cluster4,6,Radial Velocity,0.2427041750232117,0.0,0.7959633639616236,0.2993422596638316,0.0578280248129117,5,high_toi_region,0.6755769672965244,1.011124845488257
orbital_pca2_cubes10_overlap0p35,cube26_cluster4,6,Radial Velocity,0.2427041750232117,0.0,0.7959633639616236,0.2993422596638316,0.0578280248129117,6,high_toi_region,0.6755769672965244,1.011124845488257
orbital_pca2_cubes10_overlap0p35,cube25_cluster0,527,Radial Velocity,0.1564580961262041,0.1182795698924731,0.4953020073966288,0.8236891721311786,0.0562810757788033,7,high_toi_region,1.1854008490850092,0.6477454210555573
orbital_pca2_cubes10_overlap0p35,cube24_cluster1,6,Radial Velocity,0.2424045402392323,0.0,0.7218376584728403,0.2993422596638316,0.0523779284684389,8,high_toi_region,0.8074094563880424,1.0098765432098764
orbital_pca2_cubes10_overlap0p35,cube26_cluster0,12,Radial Velocity,0.1975304009906056,0.0,0.9220571787615326,0.2430138582859247,0.044261164864001,9,high_toi_region,0.402859879705382,0.7779886148007589
orbital_pca2_cubes10_overlap0p35,cube26_cluster10,4,Radial Velocity,0.2011009153469986,0.0,0.795866096132521,0.2722348716114531,0.0435710279764328,10,high_toi_region,0.6757578386190236,1.012954966070327
