method,feature,complete_case_rows,missing_cells_imputed,complete_case_median,imputed_all_rows_median,imputed_missing_cells_median,median_delta_vs_complete_cases,relative_median_delta_vs_complete_cases,complete_case_p05,complete_case_p95,imputed_all_rows_p05,imputed_all_rows_p95
knn,pl_rade,4963,50,2.8,2.86,9.21894116039397,0.06000000000000005,0.02142857142857145,1.0606786500000003,14.346376869999997,1.074262744,14.300000000000002
knn,pl_bmasse,4963,31,8.97,9.3,442.61653178820444,0.33000000000000007,0.03678929765886288,1.32,1909.8338534629988,1.3520000000000003,2519.680045015994
knn,pl_dens,4963,74,2.604278108768709,2.5883077748942203,2.5568445697882893,-0.015970333874488762,-0.006132345781626012,0.3346211268277583,10.478503644482183,0.3427710636830894,11.593341420630953
knn,pl_orbper,4963,339,11.724128,11.13125132,34.731493930791544,-0.5928766799999998,-0.050568936128981175,1.6514184,1358.459999999998,1.60785928,1609.1135379999948
knn,pl_orbsmax,4963,428,0.0975,0.10860000000000002,1.4520895836167318,0.011100000000000013,0.11384615384615397,0.025729000000000005,2.517528999999998,0.0257756,3.9931994517716
knn,pl_orbeccen,4963,1052,0.0,0.0,0.05170499354143745,0.0,,0.0,0.4,0.0,0.40679999999999933
knn,st_teff,4963,294,5589.0,5519.0,5200.359643811442,-70.0,-0.012524601896582574,3697.4,6327.0,3516.2,6335.0
knn,st_met,4963,640,0.03,0.02,-0.01737488396934042,-0.009999999999999998,-0.3333333333333333,-0.3,0.328,-0.3,0.3050799999999999
knn,sy_pnum,4963,0,1.0,1.0,,0.0,0.0,1.0,4.0,1.0,4.0
median,pl_rade,4963,50,2.8,2.84141754,2.84141754,0.04141754000000031,0.014791978571428683,1.0606786500000003,14.346376869999997,1.074262744,14.300000000000002
median,pl_bmasse,4963,31,8.97,9.2,9.2,0.22999999999999865,0.025641025641025487,1.32,1909.8338534629988,1.3520000000000003,2510.844415299999
median,pl_dens,4963,74,2.604278108768709,2.5883077748942203,2.5883077748942203,-0.015970333874488762,-0.006132345781626012,0.3346211268277583,10.478503644482183,0.3427710636830894,11.106231290974407
median,pl_orbper,4963,339,11.724128,10.678821490871393,10.678821490871393,-1.0453065091286078,-0.08915857188940685,1.6514184,1358.459999999998,1.6162742264,1305.2160539999957
median,pl_orbsmax,4963,428,0.0975,0.102,0.102,0.00449999999999999,0.04615384615384605,0.025729000000000005,2.517528999999998,0.025952,3.7939999999999965
median,pl_orbeccen,4963,1052,0.0,0.0,0.0,0.0,,0.0,0.4,0.0,0.38
median,st_teff,4963,294,5589.0,5543.0,5543.0,-46.0,-0.00823045267489712,3697.4,6327.0,3538.2,6329.4
median,st_met,4963,640,0.03,0.02,0.02,-0.009999999999999998,-0.3333333333333333,-0.3,0.328,-0.292,0.3050799999999999
median,sy_pnum,4963,0,1.0,1.0,,0.0,0.0,1.0,4.0,1.0,4.0
iterative,pl_rade,4963,50,2.8,2.86,14.75487786957759,0.06000000000000005,0.02142857142857145,1.0606786500000003,14.346376869999997,1.074262744,14.423741199999993
iterative,pl_bmasse,4963,31,8.97,9.3,902.0824073668979,0.33000000000000007,0.03678929765886288,1.32,1909.8338534629988,1.3520000000000003,2519.680045015994
iterative,pl_dens,4963,74,2.604278108768709,2.585296099949782,2.5845967186014978,-0.0189820088189272,-0.007288779472136256,0.3346211268277583,10.478503644482183,0.3427710636830894,11.106231290974407
iterative,pl_orbper,4963,339,11.724128,12.00096042,1575.3996569825974,0.27683241999999986,0.0236121970009198,1.6514184,1358.459999999998,1.6162742264,2705.6730557924266
iterative,pl_orbsmax,4963,428,0.0975,0.098,0.06757722801319063,0.0005000000000000004,0.0051282051282051325,0.025729000000000005,2.517528999999998,0.024099999999999996,3.8191999999999937
iterative,pl_orbeccen,4963,1052,0.0,0.0,0.053093241003001404,0.0,,0.0,0.4,0.0,0.41
iterative,st_teff,4963,294,5589.0,5564.0,5734.870695583422,-25.0,-0.004473072105922347,3697.4,6327.0,3524.4,6330.0
iterative,st_met,4963,640,0.03,0.02,0.009241562783784556,-0.009999999999999998,-0.3333333333333333,-0.3,0.328,-0.3,0.3050799999999999
iterative,sy_pnum,4963,0,1.0,1.0,,0.0,0.0,1.0,4.0,1.0,4.0
